ticker,forward_return,is_winner,rsi,rvol,momentum_1m,momentum_3m,ema_trend,macd_signal,distance_52w_high,volume_trend,price_acceleration,volatility
AFRM,-2.0603994805207138,False,62.32662754453979,20.416557182243523,38.60793501713415,35.29128436280874,35.0,56.19936130548123,70.86000061035156,21.571279916753383,100.0,45.576335210100694
HOOD,-20.473979637401875,False,63.73626110394084,16.13789218615902,55.654530725995954,67.93445631725547,100.0,66.17458881922373,88.17106663457422,26.483475564193505,100.0,20.09641508370528
RIVN,-10.485714503696986,False,82.93841315240022,26.18984479457663,44.228629916159214,80.01485847253542,100.0,55.17317197454365,94.08601957575439,20.87623229122829,100.0,50.56837961461393
LCID,-15.077040429620748,False,53.39546820524444,25.520669417860898,2.7957588828392943,17.34111439233356,20.0,66.58718687907546,36.15598604607177,21.63586556621696,100.0,21.556776823808022
NIO,-7.554673928242172,False,33.018868136720045,11.07658931727702,1.7345436797932905,30.868173303481182,20.0,48.675494720163755,62.718203525027405,34.04866856061606,98.13451446357853,52.42135046871496
DKNG,-11.622874391375149,False,74.37012722734016,11.581791934184482,77.11920062361135,28.74033976480197,85.0,66.1480163296884,64.59615869026594,29.403294361288435,74.19168835253461,50.63583024838441
COIN,-22.427130947136554,False,58.50534465843299,17.014020235370676,30.974301833002073,35.15663356281662,35.0,65.71792544997604,61.86663670615775,22.09220324756467,100.0,38.82274277991979
MARA,-15.981541281696664,False,57.093419782166364,20.569706298074976,12.95283640535316,23.084000408366744,20.0,76.86748052155745,50.831555174754605,29.46712941270093,100.0,15.240913535835574
RIOT,7.096978573504087,False,66.51785372167183,18.6020443967159,42.93680648848359,47.98615077668639,35.0,68.44037577980909,65.05118045638189,23.974300037990936,100.0,27.881851630914724
SHOP,-18.732931596465995,False,71.06351379441342,22.90559174355897,61.92902426314468,67.46407618454089,100.0,59.45144798784659,92.44195395579432,11.529139680073818,88.58098068734571,47.15791581771418
ROKU,1.8840172730186344,False,71.90850726469333,18.830304911361708,47.32184606626806,61.46847688560548,100.0,61.219973521576165,90.31372990139207,58.55829873786629,100.0,55.32820428191867
ZM,8.642816975120638,False,68.80124290362612,17.25308730408871,58.180652237047866,54.84639144097889,100.0,56.436330387989315,96.71573172923861,16.59205832020033,47.23021432144077,58.6355447804729
CRWD,-10.081991103767873,False,49.54238230388858,24.698298242969365,36.63984202535908,69.13321961844281,80.0,50.232669351967694,91.64578508606182,74.9536400623668,97.58881454834841,68.01416614828973
SNOW,-1.3461133705110817,False,32.08772160430806,39.08690189731905,9.662313098684969,47.91996790789887,20.0,31.18933893421735,77.1546630176487,100.0,20.031206520182653,45.97487440645639
NET,-10.029983598196191,False,67.01498320691891,25.19517083248825,31.70675419152349,46.448581081584194,65.0,59.58124052333861,82.10000258225662,0.0,100.0,59.13673693157843
DDOG,-9.788362004282348,False,16.021647247326612,12.653327876252938,2.83533456163525,60.76922853351077,35.0,37.86812723009795,74.96653037731402,27.59906788395807,100.0,63.18645684813825
MDB,-4.130579618347852,False,76.86398106427319,19.513047662497137,80.14915093974531,79.47894448934923,100.0,69.37715863223069,99.43235956571822,100.0,100.0,12.804039036281011
TTD,-13.24860270425262,False,44.17769058475651,19.41986956327331,27.46606580870501,36.86600198279761,20.0,59.37247548954457,31.17647080228358,31.738401900515832,100.0,67.54525926189751
BILL,-12.53822846118242,False,81.20036766562629,25.73337050220869,88.73738680211396,58.85059816873614,100.0,62.36243466446108,55.48457809959471,19.21264163734383,74.29352050158862,50.74314411868562
HUBS,-15.861084874355559,False,74.1736650063709,25.336987161459522,48.698862257681164,29.854722968910487,35.0,65.50028928225677,44.54166797700873,16.8053326345442,100.0,65.19493867037465
SMCI,-10.510031560333532,False,55.855867036197246,17.919212029513492,29.80423390127973,27.555558946397575,35.0,72.81601069558349,52.52859759699344,9.627025306423997,100.0,45.80276419246273
ARM,-18.721736819321045,False,58.42320835380891,13.219440618075105,39.02096845311205,43.94583433740096,35.0,60.95386944854346,77.26577934205262,2.294269227953072,100.0,67.4968064121609
CELH,24.051494623930104,True,59.27710544355177,15.799913305589214,52.51543216472862,26.58249569873419,35.0,73.93306864225819,66.3470185745012,20.533983927240385,100.0,45.678737173069095
DUOL,-22.24473137452444,False,64.83204392638167,27.565024740075174,52.6168639332381,14.122633267242144,35.0,86.80367265609922,36.23217754484616,39.388563240849294,100.0,46.45006486008329
CAVA,18.911284397572082,True,67.90413064619494,19.93187192493993,65.5939092490879,33.43548524501141,55.0,69.17312229029247,36.74302590783666,34.7526522330144,97.88710427725678,39.3149813918542
TOST,-4.449154505793063,False,65.68502133250625,19.38916898501409,37.69883552627853,38.610765581557985,35.0,56.84492105213406,71.2847394978872,30.268029008284103,100.0,62.02114142871524
DASH,-4.239671451886573,False,62.45239750898169,24.73608861843922,69.60823176018414,35.39421415228671,55.0,72.3209001436136,77.16287322303252,15.21133054383592,100.0,47.6527397051534
ABNB,4.844399404217059,False,73.6235998935893,23.740420936851443,58.226558337938926,54.09628438845999,85.0,60.42612921346769,77.81980442537481,31.46594843472278,100.0,68.97235175663144
